Butikk;Longitude;Latitude;Forvalt.visitorAddress.addressLine;Forvalt.visitorAddress.postPlace;Forvalt.visitorAddress.zipCode;Kjøpesenter
CARLINGS CITY LADE AVD N61;10,44651791;63,44368811;Haakon VII's gate 9;Trondheim;7041;City Lade
COOP NORDVEST SA (1434) COOP MARKED FRESVIK;6,939424252;61,07428606;Fresvikvegen 1072;Fresvik;6896;
PRINCESS AVD 423 SIRKUS SHOPPING;10,45721137;63,43572939;Falkenborgvegen 9;Trondheim;7044;Sirkus Shopping
DRESSMANN AS AVD 213 STORTORVET KJØPESENTER KONGSBERG;9,65186673;59,66885857;Karsches gate 3;Kongsberg;3611;Stortorvet Kongsberg
HAMAR GLASMAGASIN AS;11,07265617;60,79448596;Torggata 51;Hamar;2317;
COOP FOSEN SA AVD COOP MARKED ROAN;10,23049035;64,17267683;Roansveien 9;Roan;7180;
COOP MODALEN SA AVD COOP ØVRE HELLAND;5,976181308;60,85834038;Balane 2;Modalen;5729;
DECADES JEKTA AVD 457;18,92102979;69,67456599;Heilovegen 4;Tromsø;9015;Jekta Storsenter
DRESSMANN AS AVD 207 FUTURA KJØPESENTER KR SUND;7,78107556;63,11047864;Industriveien 17;Kristiansund N;6517;AMFI Futura
TRIUMPH INTERNATIONAL AS AVD VESTBY;10,74099399;59,62391159;Vestbyveien 155;Vestby;1543;
BYGGMAKKER HANDEL AS AVD ELVERUM;11,58359292;60,89442579;Olav Sæters veg 8;Elverum;2413;
CARLINGS KVADRAT II AVD 533;5,72177217;58,87626535;Gamle Stokkavei 1;Sandnes;4313;Kvadrat
PROGRESS INGENIØRFIRMA AS AVD OSLO;10,77348291;59,96577954;Frysjaveien 33E;Oslo;0884;
ONLY STORES NORWAY AS AVD 11 ONLY HORISONT ÅSANE;5,32315898;60,47040789;Myrdalsvegen 2;Nyborg;5130;Horisont
CUBUS KONGSBERG AVD 809;9,65215536;59,66812076;Stasjonsbakken 4;Kongsberg;3611;Stortorvet Kongsberg
JERNIA SARPSBORG;11,10817562;59,28420456;Roald Amundsens gate 28;Sarpsborg;1723;Storbyen Kjøpesenter
HS RETAIL KRISTIANSAND AS;10,4129733;59,77457502;Solfjellveien 75;Heggedal;1389;
FLYING TIGER COPENHAGEN VÅGEN;5,73792671;58,85162623;Vågsgata 33;Sandnes;4306;AMFI Vågen
THANSEN AS AVD ORKANGER;9,85266643;63,29771709;Mælaveien 2;Orkanger;7300;
SOLAR NORGE AS AVD RANA;14,14372882;66,32109;Koksverksgata 6;Mo i Rana;8622;
SYNSAM FINNSNES;17,98028047;69,2292318;Storgata 7;Finnsnes;9300;
MARKED GYLAND AVD 022;6,83630483;58,38435612;Gylandsvegen 210;Gyland;4436;
CHRISTIANIA BELYSNING AS AVD SKI;10,83603085;59,7164168;Jernbanesvingen 6;Ski;1400;Ski Storsenter
HANDSHAKE NORWAY AS;11,13583469;60,0717663;Trondheimsvegen - Kløfta 59;Kløfta;2040;
RINGSTAD BLOMSTER & BYRÅ AS;5,849663392;62,34249958;Bjørndalvegen 5C;Ulsteinvik;6065;
RETAIL LEX ÅLGÅRD;5,84960481;58,76782648;Ole Nielsens vei 13;Ålgård;4330;
DECADES VESTKANTEN AVD 419;5,23362819;60,36322021;Loddefjordveien 2;Loddefjord;5171;
GULLFUNN STRANDTORGET;10,45022581;61,11477808;Strandpromenaden 85;Lillehammer;2609;
AANDAHLS VESTNES;7,0940441;62,62237883;Sjøgata 34;Vestnes;6390;
VERO MODA BRYNE M44 411659;5,64012452;58,73559721;Jupitervegen 2;Bryne;4340;
RETAIL LEX SANDVIKA;10,51949571;59,8905829;Brodtkorbsgate 7;Sandvika;1338;Sandvika Storsenter
LINDEX AS AVD TROMSØ;18,95818005;69,6519372;Storgata 102;Tromsø;9008;
CUBUS VAGEN 33 SANDNES AVD 858;5,73792671;58,85162623;Vågsgata 33;Sandnes;4306;AMFI Vågen
DRESSMANN AS AVD 112 MOSS PATTERØDVEIEN;10,70323988;59,4462476;Patterødveien 2;Moss;1599;Mosseporten Senter
CUBUS SUNNDALSØRA AVD 85B;8,56566547;62,67264453;Åkersgata 4;Sunndalsøra;6600;Alti Sunndal
JYSK BRØNNØYSUND AVD 598;12,22097439;65,48066513;Sømnaveien 139;Brønnøysund;8900;
PLANTASJEN NORGE AS AVD MO I RANA;14,1482287;66,30530889;Svortdalen 20;Mo i Rana;8626;
KID INTERIØR AS 63 AVD AMFISENTERET NARVIK;17,42285948;68,43820972;Bolagsgata 1;Narvik;8514;
LINDEX AS AVD ELVERUM;11,56256003;60,88490127;Torggata 3;Elverum;2408;Kremmertorget
PLANTASJEN NORGE AS AVD NAMSOS;11,50634368;64,46433336;Sandgata 8;Namsos;7800;
EUROPEAN APPLIANCES NORWAY AS AVD BERGEN;5,3437918;60,37151884;Fabrikkgaten 5;Bergen;5059;
KAIBOSH NORGE AS AVD BERGEN;5,32256195;60,39365594;Christian Michelsens gate 1;Bergen;5012;
KAIBOSH NORGE AS AVD PRINSENS GATE;10,74052074;59,91217754;Prinsens gate 27;Oslo;0158;
BAUHAUS NORGE KS AVD HAUGESUND;5,32685674;59,39707474;Longhammarvegen 24;Haugesund;5536;
BAUHAUS NORGE AS AVD LAGER;11,07258895;60,02503277;Fjellboveien 7;Frogner;2016;
BYGGMAX LILLEHAMMER;10,4272064;61,13465894;Hovemovegen 33;Lillehammer;2624;
GULLFUNN BRØNNØYSUND;12,20828262;65,47282633;Storgata 58;Brønnøysund;8900;
B-YOUNG BRØNNØYSUND;12,20828262;65,47282633;Storgata 58;Brønnøysund;8900;
EXTRA BYGG LOMOEN;9,72589781;61,59440628;Vinstragata 96;Vinstra;2640;
PLANTASJEN NORGE AS AVD BJØRKELANGEN;11,56142082;59,89204815;Nordre Bliksrud vei 6;Bjørkelangen;1940;
HUNKEMÖLLER NORWAY AS AVD LØRENSKOG;10,95837081;59,92756746;Metro Senter Bibliotekgata 30;Lørenskog;1473;Metro
