Butikk;Longitude;Latitude;Forvalt.visitorAddress.addressLine;Forvalt.visitorAddress.postPlace;Forvalt.visitorAddress.zipCode;Kjøpesenter
MØBELRINGEN KONGSVINGER AS;12,00754782;60,18595604;Jernbanegata 4;Kongsvinger;2211;
BUNNPRIS STUBBAN AS;10,42080338;63,39128131;Stubbsvingen 39;Trondheim;7036;
MESTERHAGEN NORDÅS AS;5,32278137;60,30626031;Søråshøgda 9;Rådal;5235;
RASTA MAT AS;12,01859596;60,17934316;Rastavegen 1;Kongsvinger;2211;
BLOMSTERFORUM AS;5,23362819;60,36322021;Loddefjordveien 2;Loddefjord;5171;Vestkanten Storsenter
SKEIDAR GJØVIK AS;10,63399803;60,78070747;Amsrudv 2-4;Hunndalen;2827;
CUBUS BREKSTAD AVD 81C;9,6605217;63,69312726;Yrjars gate 35;Brekstad;7130;
HUSUMGRUPPEN AS SPORT 1 RAUFOSS;10,61434138;60,72893785;Storgata 49;Raufoss;2830;
JERNIA ULLEVÅL STADION;10,73295844;59,94962887;Sognsveien 75C;Oslo;0855;
CUBUS NOTODDEN AVD 81E;9,2226659;59,56618616;Tuvenbøygen 2;Notodden;3676;Tuvensenteret
NORMAL NORGE AS AVD NO 1092 ASKER TREKANTEN;10,43419666;59,83668167;Knud Askers vei 26;Asker;1383;
LINDEX AS AVD ARKADEN STAVANGER;5,73576952;58,97072712;Klubbgata 5;Stavanger;4013;
HEIDENREICH AS AVD KRISTIANSAND;8,11846979;58,17836259;Skibåsen 33G;Kristiansand S;4636;
LEVIS STOR SKI STORSENTER AVD L21;10,83603085;59,7164168;Jernbanesvingen 6;Ski;1400;Ski Storsenter
SYNSAM SANDVIKA STORSENTER;10,52113516;59,88685265;Sandviksveien 176;Sandvika;1337;
MATCH LAGUNEN AVD 246;5,33115459;60,29686524;Laguneveien 1;Rådal;5239;Lagunen Storsenter
COOP MIDT NORGE SA AVD 13 COOP PRIX BJERKA;13,83780721;66,15073533;Nergårdsgata 22A;Bjerka;8643;
COOP FINNMARK SA AVD PRIX ØKSFJORD;22,34959568;70,24056991;Strandveien 12;Øksfjord;9550;
BARNAS HUS NORGE AS AVD HAUGESUND;5,32281744;59,39644772;Raglamyrvegen 2;Haugesund;5536;
KAPPAHL AS AVD 329 MOSS;10,70323988;59,4462476;Patterødveien 2;Moss;1599;Mosseporten Senter
LYRECO NORGE AS AVD ALNABRU;10,92749068;59,93701196;Per Krohgs vei 1;Oslo;1065;
CUBUS HAMMERFEST AVD 908;23,68251043;70,66365896;Sjøgata 6;Hammerfest;9600;Nissen Hammerfest Senter
MATCH AMANDA AVD 266;5,33174967;59,39518083;Longhammarvegen 27;Haugesund;5536;Alti Amanda
CUBUS HARSTAD AVD 915;16,56626703;68,77943861;Kanebogen Skilleveien 5;Harstad;9411;
EUROPRIS SURNADAL 465;8,71218104;62,96972852;Øravegen 4;Surnadal;6650;AMFI Surnadal
BARNAS HUS NORGE AS AVD KRISTIANSAND;8,12929541;58,17668507;Barstølveien 58;Kristiansand S;4636;Sørlandssenteret
HS RETAIL STAVANGER AS;10,4129733;59,77457502;c/o HS Retail AS Solfjellveien 75;Heggedal;1389;
SOGNASMAK AS;7,512295707;61,06286016;Lærdalsvegen 714;Lærdal;6887;
SNOS LAGUNEN AS;5,33115459;60,29686524;Lagunen Storsenter Laguneveien 1;Rådal;5239;Lagunen Storsenter
OTTA JERNVAREHANDEL AS;9,54237702;61,77063327;Storgata 5;Otta;2670;
TRONDHEIM BLOMSTER AS;10,41209451;63,43523598;Beddingen 10;Trondheim;7042;Solsiden
AS SANDE MEIERI HANDELSLAG;10,2081205;59,58741255;Revåveien 5;Sande i Vestfold;3070;
HIFI KLUBBEN AS AVD TROMSØ;18,92649723;69,67425509;Jekta Storsenter Karlsøyvegen 12;Tromsø;9015;Jekta Storsenter
BYGGMIX ØLEN AVD 281;5,806294;59,60541237;Sjoargata 28;Ølen;5580;
COOP ØST SA AVD 2680 COOP PRIX HOLMLIA;10,78430571;59,82685397;Dyretråkket 31;Oslo;1251;
ONLY STORES NORWAY AS AVD ONLY TELEGRAFEN;5,325638936;60,39214042;Stavhusgaten 4;Bergen;5014;
MATCH TRONDHEIM TORG AVD 309;10,39371835;63,43036208;Kongens gate 9;Trondheim;7013;Trondheim Torg
MATCH ELVERUM AVD 311;11,56256003;60,88490127;Torggata 3;Elverum;2408;AMFI Elverum
RITUALS COSMETICS NORWAY AS AVD ASKER TREKANTEN;10,43419666;59,83668167;Knud Askers vei 26;Asker;1383;
MUSTI HERKULES;9,6006427;59,19564456;Ulefossvegen 40;Skien;3730;Herkules Storsenter
SHOEDAY GUNERIUS;10,75291522;59,9141624;Storgata 32;Oslo;0184;Gunerius
AHLSELL NORGE AS AVD BS TRONDHEIM;10,4617523;63,42432401;Bromstadvegen 57;Trondheim;7047;
SELECTED JEKTA TROMSØ;18,92965151;69,67412429;Heilovegen 19;Tromsø;9015;
BIK BOK SØRLANDSSENTERET AVD 607;8,12953997;58,17992054;Barstølveien 31;Kristiansand S;4636;Sørlandssenteret
SYNSAM KONGSBERG;9,65079813;59,66862141;Storgata 8;Kongsberg;3611;
COOP NORDVEST SA (3063) COOP BYGGMIX GAUPNE;7,296406013;61,40281037;Rådhusvegen 3;Gaupne;6868;
COOP NORDVEST SA (2618) COOP MARKED VISTDAL;7,934268854;62,72032697;Havnealleen 3;Vistdal;6364;
CUBUS VESTKANTEN BERGEN AVD 878;5,23362819;60,36322021;Loddefjordveien 2;Loddefjord;5171;Vestkanten Storsenter
CUBUS KVADRAT SANDNES AVD 856;5,72177217;58,87626535;Gamle Stokkavei 1;Sandnes;4313;Kvadrat
NORSK BUTIKKDRIFT AS COOP PRIX RISØR AVD 4512;9,23490444;58,72050823;Strandgata 3;Risør;4950;
LINDEX AS AVD MOA;6,35573624;62,46613037;Langelandsvegen 51;Ålesund;6010;AMFI Moa
LINDEX AS AVD MOSJØEN;13,19036466;65,83976644;Smågan 2;Mosjøen;8656;
COOP NORDVEST SA (1720) COOP MARKED STOKKØY;10,01749486;64,04750075;Stokkøyveien 151;Stokkøy;7178;
COOP NORDVEST SA AVD 2754 COOP PRIX HARAMSØY;6,268467;62,64087117;Ullavegen 114;Haramsøy;6290;
FLÜGGER FARVE ENSJØ;10,78509817;59,91529128;Ensjøveien 11;Oslo;0655;
KID INTERIØR AS 102 AVD LINDERUD;10,83547294;59,9432415;Erich Mogensøns vei 38;Oslo;0594;Linderud Senter
NILLE KONGSBERG;9,65186673;59,66885857;Karsches gate 3;Kongsberg;3611;Stortorvet Kongsberg
LINDEX AS AVD GJØVIK;10,69363482;60,79999069;Jernbanesvingen 6;Gjøvik;2821;CC Gjøvik
NILLE RYGGE;10,68249754;59,41606749;Carlbergveien 2;Moss;1526;Rygge Storsenter
COOP MIDT NORGE SA AVD 188 MODUS RØROS;11,38116024;62,57563408;Peder Hiortgata 7;Røros;7374;
EUROPRIS VIKERSUND 226;9,99349061;59,96525095;Vikersundgata 34;Vikersund;3370;
COOP ØST SA AVD 2515 COOP PRIX SØRENGA;10,75486263;59,90211433;Sørengkaia 82;Oslo;0194;
CUBUS VESTBY AVD 939;10,74318601;59,60398575;Senterveien 8;Vestby;1543;Vestby Storsenter
FELLESKJØPET GRUE 4050 BUTIKK;12,05872271;60,4554322;Silovegen 1;Kirkenær;2260;
FRYDELIG AS;10,14128882;63,32061809;Lykkjneset 6;Buvika;7350;Sirkus Shopping
SKEIDAR FYLLINGSDALEN AS;5,27688068;60,34978792;Krokatjønnveien 11A;Fyllingsdalen;5147;Oasen
MUSTI SARTOR;5,12407613;60,35849587;Sartorvegen 12;Straume;5353;Sartor Senter
GLAPRIS FLEKKEFORD;6,66542894;58,29371588;Jernbaneveien 12;Flekkefjord;4405;
GULLSMED FINN ANDERSEN AS;10,4849612;59,41622784;Vognmannsgata 5;Horten;3187;Sjøsiden Senter Horten
TRENDHUSET AS;5,32780498;59,39563543;Longhammarvegen 23;Haugesund;5536;
MÅLØY GLASSMAGASIN AS;5,1139599;61,93545374;Gate 1 116;Måløy;6700;
HATTFJELLDAL MATSENTER AS;13,99033555;65,59677389;O.T. Olsens vei 2C;Hattfjelldal;8692;
HUS & HAGE DRAMMEN AS;10,20785337;59,74233192;Inngang Schwenckengata Nedre Strandgate 7;Drammen;3015;
CUBUS CITY LADE AVD 81A;10,44651791;63,44368811;Haakon VII's gate 9;Trondheim;7041;City Lade
CUBUS GALLERIET AVD 822;5,3246431;60,39292207;Torgallmenningen 8;Bergen;5014;Galleriet
MUSTI HAUGESUND;5,32281744;59,39644772;Raglamyrvegen 2;Haugesund;5536;
BRØDRENE DAHL AS AVD HAUGESUND;5,26274286;59,43867958;Kvalamarka 23;Haugesund;5514;
MEKO NORWAY AS AVD SEM;10,34830192;59,28925923;Broen 7;Sem;3170;
KVÆRNØ SKO AS AVD SKORINGEN SIRKUS SHOPPING;10,45721137;63,43572939;Falkenborgvegen 9;Trondheim;7044;Sirkus Shopping
EUROPRIS VINSTRA 490;9,76558259;61,5894708;Nedregata 1;Vinstra;2640;
LØVENSKIOLD HANDEL AS AVD 300 MAXBO ÅLESUND;6,14218691;62,47021771;Nedre Strandgate 38;Ålesund;6005;
AHLSELL NORGE AS AVD ARENDAL;8,71247873;58,45930703;Stoaveien 1;Arendal;4848;
LINDEX AS AVD HAMAR;11,07229936;60,79436584;Torggata 52;Hamar;2317;
KNUTSTAD & HOLEN AS AVD GRØNNEGATA;11,07627006;60,79295751;Grønnegata 24;Hamar;2317;
KAPPAHL AS AVD 284 TISTA SENTER;11,38145769;59,12157762;Walkers gate 4;Halden;1771;Tista Senter
COOP FINNMARK SA AVD PRIX MEHAMN;27,84227895;71,03322724;Holmeveien 2;Mehamn;9770;
CUBUS STJORDAL AVD 892;10,92497036;63,46798896;Kjøpmannsgata 34;Stjørdal;7500;
CUBUS AMANDA HAUGESUND AVD 870;5,33174967;59,39518083;Longhammarvegen 27;Haugesund;5536;Alti Amanda
DRESSMANN AS AVD 219 BERGEN STRANDGATEN;5,31944662;60,39502559;Strandgaten 53;Bergen;5004;
PRINCESS AVD 387 ASKØY;5,20333824;60,42258402;Kleppevegen 110;Kleppestø;5308;AMFI Askøy
KAPPAHL AS AVD 406 BRØNNØYSUND;12,20828262;65,47282633;Storgata 58;Brønnøysund;8900;
JOKER VÅLAND;5,73464493;58,95413596;Armauer Hansens vei 11;Stavanger;4011;
COOP ØST SA AVD 1039 COOP EXTRA SKOTTERUD;12,12183265;59,98525454;Dr. Lunderbys veg 2;Skotterud;2230;
BILXTRA HØNEFOSS;10,24959519;60,15475198;Dronning Åstas gate 16;Hønefoss;3511;
COOP NORDVEST SA (2836) COOP PRIX KROKSTADØRA;9,534247865;63,40525344;Krokstadøra 5;Snillfjord;7257;
MUSTI DYREELSKEREN;11,00004295;59,25330198;Dikeveien 37;Rolvsøy;1661;
COOP NORDVEST SA (1794) COOP MARKED NORDSKAG;8,562819644;63,7056458;Nordskaget 2;Kverva;7266;
MISS 1 AS;10,94142203;60,88415464;Øvregate 4;Brumunddal;2380;
KVÆRNØ SKO CITY LADE AS;10,39928433;63,43314394;Olav Tryggvasons gate 17;Trondheim;7011;City Lade
LIERTOPPEN LEKER AS;10,30584041;59,81129164;Drammensveien 201;Lierskogen;3420;Liertoppen Kjøpesenter
EPAS VAREHUS AS;15,39516466;67,25895077;Storgaten 68;Fauske;8200;
ROMNES HAMAR AS;11,01298935;60,85171205;Høsbjørvegen 4;Furnes;2320;
MØBELHUSET SKIEN AS;9,61424904;59,17348898;Kjørbekkdalen 19;Skien;3735;
SYNSAM OSLO MORTENSRUD;10,82919538;59,84841977;Senter Syd Mortensrud Lofsrudveien 6;Oslo;1281;Senter Syd Mortensrud
BYGGMAX STORD;5,46457402;59,76443587;Ringvegen 7;Stord;5412;
ZAVANNA BERGEN SENTRUM AVD 572;5,32197005;60,39309963;Christian Michelsens gate 6B;Bergen;5012;Kløverhuset
DECADES SOLSIDEN AVD 477;10,41209451;63,43523598;Beddingen 10;Trondheim;7042;Solsiden
MATCH JESSHEIM AVD 234;11,17532034;60,14240384;Ringvegen 4;Jessheim;2050;Jessheim Storsenter
FEEL FUTURA KRISTIANSUND;7,78107556;63,11047864;Industriveien 17;Kristiansund N;6517;AMFI Futura
JEM & FIX NORGE AS AVD SLITU;11,27811385;59,57735727;Morstongveien 29;Slitu;1859;Morenen Kjøpesenter
PANDURO HOBBY LAGUNEN RÅDAL;5,33115459;60,29686524;Lagunen Storsenter Laguneveien 1;Rådal;5239;
LARSSEN SKO AS MANI BERGEN STORSENTER;5,33181448;60,38923732;Strømgaten 8;Bergen;5015;Bergen Storsenter
LARSSEN SKO AS AVD MANI TASTA;5,69110645;58,98399993;Tastatunet 1;Stavanger;4027;
SYNSAM OSLO LØREN;10,79347902;59,93074232;Lørenveien 44;Oslo;0585;
PRINCESS AVD 620 KVADRAT;5,72177217;58,87626535;Gamle Stokkavei 1;Sandnes;4313;Kvadrat
PRINCESS AVD 419 CITY SYD;10,37894487;63,36190794;c/o City Syd Østre Rosten 28;Tiller;7075;City Syd
BARNAS HUS NORGE AS AVD BUSKERUD STORSENTER;9,99915888;59,75614519;Sandsgata 20;Krokstadelva;3055;Buskerud Storsenter
CUBUS OASEN BERGEN AVD 874;5,29179476;60,34895628;Folke Bernadottes vei 52;Fyllingsdalen;5147;Oasen
LYRECO NORGE AS AVD HØNEFOSS;10,25527336;60,15292938;Dronning Åstas gate 4;Hønefoss;3511;
KAPPAHL AS AVD 336 MOLDE;7,17827467;62,73924614;Lingedalsveien 6-10;Molde;6415;AMFI Roseby
AANDAHLS FUTURA;7,78107556;63,11047864;Industriveien 17;Kristiansund N;6517;
VERO MODA KIRKEGATEN 1856;5,73241652;58,97088267;Kirkegata 14;Stavanger;4006;
KAPPAHL AS AVD 286 BORG STORSENTER;11,08290975;59,27403313;Klokkergårdveien 31;Sarpsborg;1711;AMFI Borg
CUBUS ARKADEN SKIEN AVD 837;9,6081984;59,20713174;Bruene 1;Skien;3724;Arkaden Skien Storsenter
EUROPRIS GAUSDAL 346;10,22299832;61,22599369;Fargerivegen 7;Østre Gausdal;2651;
KAPPAHL AS AVD 391 STORD;5,49930643;59,77850716;Hamnegata 11;Stord;5411;AMFI Stord
EURO SKO FLORØ;5,03791357;61,60104879;Hestenesgata 4;Florø;6900;AMFI Florø
COOP NORDVEST SA (1485) COOP PRIX HOPEN;8,01511436;63,45993506;Rådhusveien 1;Smøla;6570;
LINDEX AS AVD FØRDE;5,84901459;61,45199623;Naustdalsvegen 1A;Førde;6800;
LAMPEMAGASINET ALNABRU;10,84645068;59,92795526;Strømsveien 258;Oslo;0668;
COOP NORDVEST SA (1475) COOP MARKED VEVANG;7,293808599;63,00319809;Sinagata 68;Vevang;6494;
FELLESKJØPET DOMBÅS 5275 BUTIKK;9,12502414;62,07220549;Bondegardsvegen 3;Dombås;2660;
NILLE RISSA;9,95527544;63,58203007;Rådhusveien 21;Rissa;7100;Norheim Senter
COOP MIDT NORGE SA AVD 185 KREATIV GARN RØROS;11,38116024;62,57563408;Peder Hiortgata 7;Røros;7374;
NILLE SANDE;10,20804822;59,59474998;Prestegårdsalleen 73;Sande i Vestfold;3070;
MATCH MØLLA AVD 273;10,94308413;60,88451679;Brugata 16;Brumunddal;2380;Mølla Storsenter
SYNSAM VÅGSBYGD;7,95329381;58,12483643;Kirsten Flagstads vei 32;Kristiansand S;4621;
DRESSMANN AS AVD 113 TISTA SENTER;11,38145769;59,12157762;Walkers gate 4;Halden;1771;Tista Senter
LEVIS STORE SIRKUS AVD L16;10,45502353;63,43678641;Falkenborgvegen 1;Trondheim;7044;City Lade
BERGGÅRD AMUNDSEN & CO AS AVD BERGEN;5,34641052;60,36348692;Kanalveien 60;Bergen;5068;
SANDE MEIERI DAGLIGVARE AVD. 2 AS;10,2081205;59,58741255;Revåveien 5;Sande i Vestfold;3070;
SKEIDAR STEINKJER AS;11,48463969;64,02293609;Verksvegen 3;Steinkjer;7725;
MØBELHUSET HITRA AS;8,978637794;63,60084547;Storhaugveien 6;Hitra;7240;
SKEIDAR NARVIK AS;17,41183927;68,43546557;Bolagsgata 20;Narvik;8514;
VERDAL SYNSSENTER AS;11,48524938;63,79185223;Jernbanegata 11;Verdal;7650;AMFI Verdal
GULLFISKEN BØ AS;9,0708348;59,41131663;Stasjonsvegen 28;Bø i Telemark;3800;Bøsenteret
NILLE FUTURA KRISTIANSUND;7,78107556;63,11047864;Industriveien 17;Kristiansund N;6517;
MATCH TUVEN AVD 288;9,2226659;59,56618616;Tuvenbøygen 2;Notodden;3676;Tuvensenteret
MONTÉR BRATTVÅG;6,43680709;62,60681372;Synnalandsvegen 70;Brattvåg;6270;
CUBUS LIERTOPPEN KJØPESENTER AVD 813;10,30584041;59,81129164;Drammensveien 201;Lierskogen;3420;Liertoppen Kjøpesenter
CUBUS STEEN&STROM HAUGESUND AVD 871;5,27370411;59,41093681;Skåregata 92;Haugesund;5528;Markedet Haugesund
BERGGÅRD AMUNDSEN & CO AS AVD HAMAR;11,05425661;60,79958305;Kolltjernvegen 8;Hamar;2316;
DRESSMANN AS AVD 243 OASEN FYLLINGSDALEN;5,29016245;60,34960219;Folke Bernadottes vei 50;Fyllingsdalen;5147;Oasen
DRESSMANN AS AVD 180 VOSS;6,43349125;60,62910836;Hardangervegen 23;Voss;5705;AMFI Voss
ONNINEN AS AVD PROFFMARKED SANDNES;5,74073244;58,88413323;Torneroseveien 4;Sandnes;4315;
TELIA NORGE AS TELIA AVD CC GJØVIK;10,69363482;60,79999069;Jernbanesvingen 6;Gjøvik;2821;CC Gjøvik
SYNSAM OSLO HASLE;10,79399734;59,92697978;Bøkkerveien 4;Oslo;0579;
SYNSAM ARENDAL;8,76541475;58,4607627;Peder Thomassons gate 12;Arendal;4836;
SYNSAM ÅLGÅRD;5,86143982;58,76686565;Sandnesveien 20;Ålgård;4330;
SUNKOST BUTIKK AS SUNKOST BODØ;14,37945299;67,28401993;Storgata 5;Bodø;8006;
ONLY STORES NORWAY AS AVD 26 ONLY HERKULES;9,6034596;59,19655649;Ulefossvegen 32;Skien;3730;Herkules Storsenter
ONLY STORES NORWAY AS AVD 35 ONLY PORSGRUNN DOWN TOWN;9,64087974;59,13794573;Kulltangvegen 70;Porsgrunn;3921;Down Town
COOP NORDVEST SA (1517) COOP MARKED HELLESYLT;6,868928313;62,0848343;Hellesyltvegen 45;Hellesylt;6218;
EURO SKO STEINKJER;11,49253863;64,01028402;Sjøfartsgata 6;Steinkjer;7714;AMFI Steinkjer
FREDRIK & LOUISA AS AVD GALLERIET;5,32533669;60,39288711;Olav Kyrres gate 1;Bergen;5014;Galleriet
GEORGE ROKNE & CO AS AVD VOSS;6,41967077;60,62835723;Uttrågata 8;Voss;5700;
COOP ØVRE RENDAL;11,07742401;61,8907504;Stevneveien 27;Rendalen;2484;
JACOB KLETTE OPTIKK AS AVD BODØ;14,38075543;67,28390834;Storgata 16;Bodø;8006;
BRØDRENE DAHL AS AVD LILLEHAMMER;10,44828267;61,1311408;Oskar Skoglys veg 2;Lillehammer;2619;
PRINCESS AVD 206 HAMAR;11,04671992;60,79870127;Aslak Bolts gate 48;Hamar;2316;Maxi Storsenter
K ENG & CO AS LAMPEHUSET HERKULES;9,6034596;59,19655649;Ulefossvegen 32;Skien;3730;Herkules Storsenter
PRINCESS AVD 413 STOVNER;10,9245235;59,96214534;Stovner Senter 3;Oslo;0985;Stovner Senter
CUBUS SVOLVÆR AVD 805;14,55905828;68,23329326;Lofotgata 33;Svolvær;8300;Alti Svolvær
COOP PRIX LALM;9,27609684;61,81676727;Kolbottvegen 2;Lalm;2682;
COOP ØST SA AVD 2816 COOP PRIX SLIDRE;8,981288226;61,08765084;Slidrevegen 14;Slidre;2966;
PRIX VIKEDAL AVD 258;5,90408621;59,49789132;Kyrkjehølsvegen 5;Vikedal;5583;
BERGGÅRD AMUNDSEN & CO AS AVD MOSS;10,69301861;59,41398226;Årvoldveien 12;Moss;1529;
LIFE STEINKJER;11,49162167;64,01124295;Sjøfartsgata 2;Steinkjer;7714;AMFI Steinkjer
4SOUND GJØVIK;10,67057673;60,78565988;Kallerudlia 4;Gjøvik;2816;
CARLINGS OUTLET TILLERTORGET AVD 51A;10,37483247;63,35806783;Ivar Lykkes veg 3;Tiller;7075;Tiller Torget
DRESSMANN AS AVD 108 TYNSET;10,77713047;62,2755988;Brugata 1;Tynset;2500;
ZAVANNA ÅSANE SENTER AVD 817;5,3217287;60,46596925;Åsane Senter 36;Ulset;5116;Åsane Storsenter
NOR TEKSTIL AS AVD JOBBPARTNER FLORØ;5,00153997;61,59074017;Industrivegen 24;Florø;6905;
PRINCESS AVD 394 FØRDE;5,85053111;61,45254643;Naustdalsvegen 4;Førde;6800;
VERO MODA BERGEN STORSENTER 2195;5,33181448;60,38923732;Strømgaten 8;Bergen;5015;Bergen Storsenter
BGN RETAIL AS AVD ZIZZI GJØVIK;10,69363482;60,79999069;Jernbanesvingen 6;Gjøvik;2821;CC Gjøvik
INTERIØR SERVICE ROGALAND AS;5,74396586;58,88481684;Gamleveien 85;Sandnes;4315;
SKJELDESTAD KONTORSPAR AS;7,10321975;61,22979337;Fossetunet 1;Sogndal;6856;
MUSUM INTERIØR AS;10,40058111;63,38991011;Fossegrenda 28;Trondheim;7038;
Teppesenteret AS;18,03061362;69,23485443;Sandvikveien 118;Finnsnes;9300;
HIMMEL & HAV INTERIØR AS;16,11944426;69,31590571;Storgata 54;Andenes;8480;
ROGERS LYD OG BILDE AS;10,94124459;60,88547709;Brugata 6;Brumunddal;2380;
EURO SKO VOSS;6,43499328;60,62883227;c/o Amfi Voss Hardangervegen 25;Voss;5705;
DOGMAN BUTIKKER AS AVD ASKIM;11,16776002;59,58212185;Haugomgata 4;Askim;1811;
COOP MARKED VOLL;5,6052194;58,80578784;Vollvegen 55;Voll;4354;
UFF BUTIKKENE I NORGE AVD NYGATA STAVANGER;5,73402542;58,9707702;Nygata 4;Stavanger;4006;
DRESSMANN AS AVD M14 HERKULES DRESSMANN XL;9,6034596;59,19655649;Ulefossvegen 32;Skien;3730;Herkules Storsenter
DECADES VESTBY AVD 467;10,74099399;59,62391159;Vestbyveien 155;Vestby;1543;
JACK & JONES TØNSBERG 88547;10,41176441;59,26928606;Jernbanegaten 1D;Tønsberg;3110;Farmandstredet
PRINCESS AVD 438 RAUFOSS;10,61434138;60,72893785;Storgata 49;Raufoss;2830;
PRINCESS AVD 226 TORGET VEST;10,20355782;59,74509198;Huagens gate 10;Drammen;3019;Torget Vest
PRINCESS AVD 442 TYNSET;10,77713047;62,2755988;Brugata 1;Tynset;2500;
PRINCESS AVD 609 SANDNES;5,73965241;58,84822783;Gravarsveien 7;Sandnes;4306;
PRINCESS AVD 614 VOSS;6,43499328;60,62883227;Hardangervegen 25;Voss;5705;AMFI Voss
KID INTERIØR AS 48 AVD SJØKANTEN SENTER;16,5425451;68,79066686;Margrethe Jørgensens vei 17;Harstad;9406;
NILLE AMFI ASKØY;5,20333824;60,42258402;Kleppevegen 110;Kleppestø;5308;AMFI Askøy
THANSEN AS AVD MOSJØEN;13,19183876;65,84110582;Dolstadgata 11;Mosjøen;8663;
VERO MODA TRONDHEIM MIDTBYEN 1488;10,39723597;63,43222184;Nordre gate 12;Trondheim;7011;
CHRISTIANIA BELYSNING AS AVD KVADRAT;5,72177217;58,87626535;Gamle Stokkavei 1;Sandnes;4313;
CEWE NORGE AS AVD 27;10,40943726;59,26903207;Fayes gate 5;Tønsberg;3110;
CEWE NORGE AS AVD LAMBERTSETER;10,81046246;59,87491424;Cecilie Thoresens vei 17;Oslo;1153;
4SOUND STAVANGER;5,73190663;58,89101719;Bjødnabeen 6;Stavanger;4031;
TESS NORD AS AVD ALTA;23,33824439;69,97997294;Blåskjellveien 7;Alta;9515;
RETAIL LEX MOA;6,35269247;62,46595303;Langelandsvegen 35;Ålesund;6010;
SYNSAM EGERSUND;6,00481023;58,45297176;Fabrikkgaten 2;Egersund;4370;
SYNSAM HØNEFOSS;10,25654749;60,16463666;Storgata 10;Hønefoss;3510;
BRØDRENE DAHL AS AVD TØNSBERG;10,39902858;59,27877243;Fjordgaten 5;Tønsberg;3125;
COOP NORDVEST SA (1560) COOP MARKED FOLKESTAD;6,026649589;62,12000425;Vollen 3;Folkestad;6120;
DRESSMANN AS AVD 134 ÅLESUND;6,16045869;62,47254666;Parkgata 6;Ålesund;6003;Ålesund Storsenter
CUBUS REMASENTERET NAMSOS AVD 893;11,50414757;64,46741473;Søren R Thornæs veg 19;Namsos;7800;AMFI Namsos
CUBUS NORHEIMSUND AVD 87F;6,14536612;60,37275812;Grova 10;Norheimsund;5600;
FELLESKJØPET TANA 2250 BUTIKK;28,17506502;70,20207936;Grenveien 10;Tana;9845;
ØDEGAARD ENGROS AS AVD LEVANGER;11,29730702;63,74466724;Håkon den godes gate 10;Levanger;7600;
COOP NORDVEST SA (1473) COOP MARKED ERESFJORD;8,12010851;62,67983086;Siramoen 29;Eresfjord;6470;
BRØDRENE DAHL AS AVD FØRDE;5,84122495;61,45767666;Flovegen 3;Førde;6800;
VERO MODA GULSKOGEN SENTER 88815;10,15797163;59,74252941;Guldlisten 35;Drammen;3048;Gulskogen Senter
COOP MIDT NORGE SA AVD 6 COOP MARKED SJÅNES;11,45484891;64,80637455;Abelværvegen 8;Kolvereid;7970;
DRESSMANN AS AVD 227 SUNNDALØRA;8,56680557;62,67353664;Sunndalsvegen 14;Sunndalsøra;6600;Alti Sunndal
BRILLELAND AVD 446 LIERTOPPEN;10,30584041;59,81129164;Drammensveien 201;Lierskogen;3420;Liertoppen Kjøpesenter
CUBUS ÅSANE STORSENTER OUTLET AVD 877;5,32463128;60,46638178;Åsane Senter 45;Ulset;5116;
FLÜGGER FARVE BEKKESTUA;10,58779175;59,9179225;Jens Rings vei 30;Bekkestua;1357;
BRILLELAND AVD 454 PILESTREDET;10,74054025;59,91630898;Pilestredet 15;Oslo;0164;
TESS NORD AS AVD ÅRDAL;7,71220614;61,23733186;Lægreidsvegen 3;Årdalstangen;6885;
COOP PRIX BINDALSEIDET;12,23140411;65,12615774;Kalvikveien 26;Bindalseidet;7982;
SYNSAM STORSLETT;21,02487221;69,76728308;Sentrum 7;Storslett;9151;
REIMERS AS AVD BYHAVEN;10,39624884;63,43335359;Olav Tryggvasons gate 28;Trondheim;7011;
VIC TRIADEN AVD 018;10,9535232;59,91861505;Gamleveien 88;Lørenskog;1461;Triaden Lørenskog Storsenter
PRIX MOSEIDMOEN AVD 017;7,95944841;58,25954303;Drivenesvegen 31;Vennesla;4706;
COOP NORDVEST SA (1781) COOP MARKED MØLNBUKT;9,648553977;63,61719243;Værnesveien 405;Agdenes;7318;
COOP OPPDAL SA 311 GULL & GAVER OPPDAL;9,69033084;62,59501235;Aunevegen 3;Oppdal;7340;
COOP OPPDAL SA 48 NORLI STØREN;10,28322982;63,0479823;Stasjonsveien 7;Støren;7290;
TELIA NORGE AS TELIA AVD SKI STORSENTER;10,83603085;59,7164168;Jernbanesvingen 6;Ski;1400;
FOLLDAL INNKJØPSLAG SA;9,97803277;62,13231376;Meierivegen 13;Folldal;2580;
COOP OPPDAL SA 73 GULL & GAVER TYNSET;10,7731726;62,27874702;Brugata 20;Tynset;2500;
TELIA NORGE AS TELIA AVD HERKULES;9,6034596;59,19655649;Ulefossvegen 32;Skien;3730;Herkules Storsenter
PRINCESS AVD 201 JESSHEIM;11,17253792;60,14306318;Furusethgata 5;Jessheim;2050;Jessheim Storsenter
IDE MØBLER FAUSKE AS;15,39682834;67,26845339;Terminalveien 5;Fauske;8208;
RETAIL LEX SØRLANDSSENTERET;8,12953997;58,17992054;Barstølveien 31;Kristiansand S;4636;Sørlandssenteret
